x,y,z,gx,gy,gz
0.656339,1.1823,4.21967,0.655674,1.17943,4.21856
0.658041,1.18464,4.22024,0.657368,1.18176,4.21912
0.659742,1.18696,4.2208,0.659062,1.18408,4.21969
0.661442,1.18928,4.22137,0.660755,1.18639,4.22025
0.663141,1.19159,4.22193,0.662447,1.18869,4.22082
0.664838,1.1939,4.22249,0.664137,1.19099,4.22138
0.666534,1.19619,4.22306,0.665827,1.19327,4.22194
0.668229,1.19848,4.22362,0.667516,1.19555,4.22251
0.669923,1.20076,4.22418,0.669203,1.19783,4.22307
0.671616,1.20304,4.22475,0.670889,1.20009,4.22363
0.673308,1.2053,4.22531,0.672575,1.20235,4.22419
0.674998,1.20756,4.22587,0.674259,1.2046,4.22475
0.676687,1.20981,4.22643,0.675942,1.20684,4.22531
0.678375,1.21206,4.22699,0.677625,1.20908,4.22587
0.680062,1.21429,4.22755,0.679306,1.21131,4.22644
0.681747,1.21652,4.22811,0.680986,1.21353,4.227
0.683431,1.21874,4.22868,0.682665,1.21574,4.22755
0.685115,1.22095,4.22923,0.684343,1.21794,4.22811
0.686797,1.22316,4.22979,0.686019,1.22014,4.22867
0.688477,1.22536,4.23035,0.687695,1.22233,4.22923
0.690157,1.22754,4.23091,0.68937,1.22451,4.22979
0.691835,1.22973,4.23147,0.691043,1.22668,4.23035
0.693513,1.2319,4.23203,0.692716,1.22885,4.23091
0.695189,1.23407,4.23259,0.694387,1.23101,4.23146
0.696863,1.23622,4.23314,0.696057,1.23316,4.23202
0.698537,1.23837,4.2337,0.697727,1.2353,4.23258
0.700209,1.24052,4.23426,0.699395,1.23743,4.23313
0.701881,1.24265,4.23481,0.701062,1.23956,4.23369
0.703551,1.24478,4.23537,0.702728,1.24168,4.23424
0.705219,1.2469,4.23592,0.704392,1.24379,4.2348
0.706887,1.24901,4.23648,0.706056,1.24589,4.23535
0.708554,1.25111,4.23703,0.707718,1.24799,4.23591
0.710219,1.25321,4.23759,0.70938,1.25008,4.23646
0.711883,1.25529,4.23814,0.71104,1.25216,4.23701
0.713546,1.25737,4.2387,0.712699,1.25423,4.23757
0.715207,1.25945,4.23925,0.714357,1.25629,4.23812
0.716868,1.26151,4.2398,0.716014,1.25835,4.23867
0.718527,1.26356,4.24035,0.71767,1.2604,4.23922
0.720185,1.26561,4.24091,0.719325,1.26244,4.23977
0.721842,1.26765,4.24146,0.720978,1.26447,4.24033
0.723497,1.26968,4.24201,0.722631,1.26649,4.24088
0.725152,1.27171,4.24256,0.724282,1.26851,4.24143
0.726805,1.27372,4.24311,0.725932,1.27052,4.24198
0.728457,1.27573,4.24366,0.727581,1.27252,4.24253
0.730108,1.27773,4.24421,0.729229,1.27451,4.24308
0.731757,1.27972,4.24476,0.730875,1.27649,4.24363
0.733406,1.2817,4.24531,0.732521,1.27847,4.24417
0.735053,1.28368,4.24586,0.734165,1.28044,4.24472
0.736699,1.28564,4.24641,0.735808,1.28239,4.24527
0.738343,1.2876,4.24695,0.73745,1.28435,4.24582
0.739987,1.28955,4.2475,0.739091,1.28629,4.24636
0.741629,1.2915,4.24805,0.740731,1.28823,4.24691
0.74327,1.29343,4.24859,0.742369,1.29015,4.24746
0.74491,1.29536,4.24914,0.744007,1.29207,4.248
0.746548,1.29727,4.24969,0.745643,1.29398,4.24855
0.748186,1.29918,4.25023,0.747278,1.29589,4.24909
0.749822,1.30109,4.25078,0.748911,1.29778,4.24964
0.751457,1.30298,4.25132,0.750544,1.29967,4.25018
0.75309,1.30486,4.25187,0.752176,1.30154,4.25073
0.754723,1.30674,4.25241,0.753806,1.30341,4.25127
0.756354,1.30861,4.25295,0.755435,1.30528,4.25181
0.757984,1.31047,4.2535,0.757063,1.30713,4.25235
0.759613,1.31232,4.25404,0.758689,1.30897,4.2529
0.76124,1.31417,4.25458,0.760315,1.31081,4.25344
0.762866,1.316,4.25512,0.761939,1.31264,4.25398
0.764491,1.31783,4.25566,0.763562,1.31446,4.25452
0.766115,1.31965,4.25621,0.765184,1.31627,4.25506
0.767738,1.32146,4.25675,0.766805,1.31808,4.2556
0.769359,1.32326,4.25729,0.768424,1.31987,4.25614
0.770979,1.32505,4.25783,0.770042,1.32166,4.25668
0.772598,1.32684,4.25836,0.771659,1.32344,4.25722
0.774215,1.32862,4.2589,0.773275,1.32521,4.25776
0.775831,1.33038,4.25944,0.77489,1.32697,4.2583
0.777446,1.33215,4.25998,0.776503,1.32872,4.25883
0.77906,1.3339,4.26052,0.778115,1.33047,4.25937
0.780673,1.33564,4.26106,0.779726,1.3322,4.25991
0.782284,1.33738,4.26159,0.781336,1.33393,4.26045
0.783894,1.3391,4.26213,0.782944,1.33565,4.26098
0.785502,1.34082,4.26266,0.784551,1.33736,4.26152
0.78711,1.34253,4.2632,0.786157,1.33907,4.26205
0.788716,1.34423,4.26374,0.787762,1.34076,4.26259
0.790321,1.34592,4.26427,0.789365,1.34245,4.26312
0.791924,1.34761,4.2648,0.790968,1.34413,4.26366
0.793527,1.34928,4.26534,0.792569,1.3458,4.26419
0.795128,1.35095,4.26587,0.794168,1.34746,4.26472
0.796728,1.35261,4.26641,0.795767,1.34911,4.26526
0.798326,1.35426,4.26694,0.797364,1.35075,4.26579
0.799923,1.3559,4.26747,0.79896,1.35239,4.26632
0.801519,1.35753,4.268,0.800555,1.35401,4.26685
0.803114,1.35916,4.26853,0.802148,1.35563,4.26738
0.804707,1.36077,4.26906,0.80374,1.35724,4.26791
0.806299,1.36238,4.2696,0.805331,1.35884,4.26844
0.80789,1.36398,4.27013,0.806921,1.36043,4.26897
0.809479,1.36557,4.27066,0.808509,1.36202,4.2695
0.811067,1.36715,4.27118,0.810096,1.36359,4.27003
0.812654,1.36872,4.27171,0.811682,1.36516,4.27056
0.81424,1.37028,4.27224,0.813266,1.36672,4.27109
0.815824,1.37184,4.27277,0.81485,1.36827,4.27162
0.817407,1.37339,4.2733,0.816432,1.36981,4.27214
