x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
0.160851,0.582932,2.29062,0.338243,0.659062,2.61275,0,0,0,0
0.160851,0.582932,2.29062,0.340079,0.662447,2.61336,0,0,0,0
0.164686,0.599891,2.29225,0.341915,0.665827,2.61397,0,0,0,0
0.164686,0.599891,2.29225,0.34375,0.669203,2.61458,0,0,0,0
0.170435,0.625302,2.2948,0.345584,0.672575,2.61519,0,0,0,0
0.170435,0.625302,2.2948,0.347418,0.675942,2.61581,0,0,0,0
0.170435,0.625302,2.2948,0.349252,0.679306,2.61642,0,0,0,0
0.176223,0.650645,2.29753,0.351084,0.682665,2.61703,0,0,0,0
0.176223,0.650645,2.29753,0.352917,0.686019,2.61764,0,0,0,0
0.18008,0.667456,2.29952,0.354748,0.68937,2.61825,0,0,0,0
0.18008,0.667456,2.29952,0.35658,0.692716,2.61886,0,0,0,0
0.18008,0.667456,2.29952,0.35841,0.696057,2.61947,0,0,0,0
0.18008,0.667456,2.29952,0.36024,0.699395,2.62008,0,0,0,0
0.185877,0.692496,2.30275,0.36207,0.702728,2.62069,0,0,0,0
0.185877,0.692496,2.30275,0.363899,0.706056,2.6213,0,0,0,0
0.187818,0.700796,2.30383,0.365727,0.70938,2.62191,0,0,0,0
0.187818,0.700796,2.30383,0.367555,0.712699,2.62252,0,0,0,0
0.187818,0.700796,2.30383,0.369382,0.716014,2.62313,0,0,0,0
0.193646,0.725465,2.30713,0.371209,0.719325,2.62374,0,0,0,0
0.193646,0.725465,2.30713,0.373035,0.722631,2.62434,0,0,0,0
0.193646,0.725465,2.30713,0.37486,0.725932,2.62495,0,0,0,0
0.199518,0.749788,2.31046,0.376685,0.729229,2.62556,0,0,0,0
0.199518,0.749788,2.31046,0.378509,0.732521,2.62617,0,0,0,0
0.199518,0.749788,2.31046,0.380333,0.735808,2.62678,0,0,0,0
0.203449,0.765767,2.31273,0.382156,0.739091,2.62739,0,0,0,0
0.203449,0.765767,2.31273,0.383979,0.742369,2.62799,0,0,0,0
0.203449,0.765767,2.31273,0.3858,0.745643,2.6286,0,0,0,0
0.209425,0.78936,2.31582,0.387622,0.748911,2.62921,0,0,0,0
0.209425,0.78936,2.31582,0.389442,0.752175,2.62981,0,0,0,0
0.209425,0.78936,2.31582,0.391262,0.755435,2.63042,0,0,0,0
0.215518,0.812474,2.31856,0.393082,0.758689,2.63103,0,0,0,0
0.215518,0.812474,2.31856,0.3949,0.761939,2.63163,0,0,0,0
0.215518,0.812474,2.31856,0.396719,0.765184,2.63224,0,0,0,0
