x,y,z,gx,gy,gz
0.191359,1.15226,4.35614,0.411241,0.790968,4.13708
0.18965,1.15849,4.35668,0.413053,0.794168,4.13768
0.188102,1.16447,4.35715,0.414865,0.797364,4.13829
0.186714,1.17021,4.35755,0.416676,0.800555,4.13889
0.185483,1.1757,4.35788,0.418487,0.80374,4.1395
0.184407,1.18096,4.35815,0.420296,0.806921,4.1401
0.183486,1.18599,4.35834,0.422106,0.810096,4.1407
0.182716,1.19078,4.35848,0.423914,0.813266,4.1413
0.182097,1.19535,4.35854,0.425722,0.816432,4.14191
0.181626,1.19969,4.35854,0.427529,0.819592,4.14251
0.181301,1.20382,4.35848,0.429335,0.822746,4.14311
0.18112,1.20772,4.35836,0.431141,0.825896,4.14371
0.181081,1.21142,4.35818,0.432946,0.82904,4.14432
0.181182,1.2149,4.35793,0.434751,0.83218,4.14492
0.181421,1.21818,4.35763,0.436554,0.835313,4.14552
0.181796,1.22126,4.35727,0.438357,0.838442,4.14612
0.182305,1.22414,4.35685,0.44016,0.841565,4.14672
0.182946,1.22682,4.35638,0.441961,0.844683,4.14732
0.183715,1.22932,4.35585,0.443762,0.847796,4.14792
0.184612,1.23162,4.35527,0.445562,0.850903,4.14852
0.185634,1.23375,4.35464,0.447362,0.854005,4.14912
0.186779,1.23569,4.35396,0.449161,0.857102,4.14972
0.188044,1.23746,4.35322,0.450959,0.860193,4.15032
0.189428,1.23906,4.35244,0.452756,0.863279,4.15092
0.190927,1.2405,4.35161,0.454553,0.866359,4.15152
0.192541,1.24177,4.35073,0.456349,0.869434,4.15212
0.194266,1.24288,4.34981,0.458144,0.872503,4.15271
0.196101,1.24385,4.34884,0.459939,0.875567,4.15331
0.198044,1.24466,4.34783,0.461732,0.878625,4.15391
0.200091,1.24533,4.34678,0.463525,0.881678,4.15451
0.202242,1.24586,4.34568,0.465318,0.884725,4.15511
0.204493,1.24625,4.34455,0.467109,0.887767,4.1557
0.206843,1.24651,4.34338,0.4689,0.890802,4.1563
0.209289,1.24664,4.34217,0.47069,0.893833,4.1569
0.211829,1.24665,4.34093,0.47248,0.896857,4.15749
0.21446,1.24654,4.33966,0.474268,0.899876,4.15809
0.21718,1.24631,4.33835,0.476056,0.90289,4.15869
0.219987,1.24598,4.33701,0.477843,0.905897,4.15928
0.222878,1.24553,4.33564,0.47963,0.908899,4.15988
0.225851,1.24498,4.33424,0.481415,0.911895,4.16047
0.228903,1.24433,4.33281,0.4832,0.914886,4.16107
0.232033,1.24359,4.33135,0.484984,0.91787,4.16166
0.235238,1.24275,4.32987,0.486768,0.920849,4.16226
0.238515,1.24183,4.32837,0.48855,0.923822,4.16285
0.241862,1.24082,4.32684,0.490332,0.926789,4.16344
0.245277,1.23973,4.32529,0.492113,0.929751,4.16404
0.248757,1.23856,4.32372,0.493893,0.932706,4.16463
0.252302,1.23732,4.32213,0.495673,0.935656,4.16522
0.255907,1.23601,4.32052,0.497451,0.938599,4.16582
0.259571,1.23463,4.31889,0.499229,0.941537,4.16641
0.263292,1.23319,4.31725,0.501006,0.944469,4.167
0.267068,1.23168,4.31559,0.502783,0.947395,4.16759
0.270896,1.23012,4.31392,0.504558,0.950314,4.16819
0.274774,1.2285,4.31224,0.506333,0.953228,4.16878
0.278701,1.22684,4.31054,0.508107,0.956136,4.16937
0.282674,1.22512,4.30883,0.50988,0.959038,4.16996
0.286691,1.22336,4.30711,0.511652,0.961933,4.17055
0.290751,1.22156,4.30538,0.513424,0.964823,4.17114
0.29485,1.21972,4.30365,0.515195,0.967707,4.17173
0.298988,1.21784,4.30191,0.516964,0.970584,4.17232
0.303163,1.21593,4.30016,0.518733,0.973455,4.17291
0.307371,1.21398,4.2984,0.520502,0.97632,4.1735
0.311613,1.21201,4.29664,0.522269,0.979179,4.17409
0.315885,1.21002,4.29488,0.524036,0.982032,4.17468
0.320186,1.208,4.29311,0.525801,0.984879,4.17527
0.324514,1.20596,4.29135,0.527566,0.987719,4.17586
0.328868,1.2039,4.28958,0.529331,0.990553,4.17644
0.333245,1.20183,4.28781,0.531094,0.993381,4.17703
0.337645,1.19975,4.28604,0.532856,0.996203,4.17762
0.342064,1.19765,4.28428,0.534618,0.999018,4.17821
0.346502,1.19555,4.28251,0.536379,1.00183,4.17879
0.350957,1.19344,4.28075,0.538138,1.00463,4.17938
0.355428,1.19133,4.27899,0.539898,1.00743,4.17997
0.359912,1.18921,4.27724,0.541656,1.01022,4.18055
0.364408,1.1871,4.27549,0.543413,1.013,4.18114
0.368915,1.18499,4.27375,0.54517,1.01578,4.18172
0.373432,1.18288,4.27201,0.546925,1.01855,4.18231
0.377956,1.18078,4.27028,0.54868,1.02131,4.18289
0.382486,1.17869,4.26856,0.550434,1.02407,4.18348
0.387021,1.17661,4.26685,0.552187,1.02682,4.18406
0.39156,1.17454,4.26514,0.553939,1.02957,4.18465
0.396101,1.17249,4.26345,0.55569,1.0323,4.18523
0.400642,1.17045,4.26176,0.557441,1.03504,4.18581
0.405183,1.16843,4.26009,0.55919,1.03776,4.1864
0.409723,1.16643,4.25843,0.560939,1.04048,4.18698
0.414259,1.16445,4.25678,0.562687,1.04319,4.18756
0.418791,1.16249,4.25514,0.564433,1.0459,4.18814
0.423317,1.16056,4.25351,0.566179,1.0486,4.18873
0.427837,1.15865,4.2519,0.567924,1.05129,4.18931
0.432349,1.15677,4.2503,0.569669,1.05397,4.18989
0.436852,1.15492,4.24872,0.571412,1.05665,4.19047
0.441345,1.1531,4.24715,0.573154,1.05933,4.19105
0.445827,1.15131,4.2456,0.574896,1.06199,4.19163
0.450296,1.14955,4.24406,0.576636,1.06465,4.19221
0.454753,1.14782,4.24254,0.578376,1.0673,4.19279
0.459195,1.14613,4.24103,0.580115,1.06995,4.19337
0.463623,1.14448,4.23954,0.581853,1.07259,4.19395
0.468034,1.14286,4.23807,0.583589,1.07522,4.19453
0.472428,1.14128,4.23662,0.585325,1.07785,4.19511
0.476805,1.13974,4.23518,0.587061,1.08046,4.19569
0.481163,1.13824,4.23377,0.588795,1.08308,4.19626
0.485501,1.13678,4.23237,0.590528,1.08568,4.19684
0.489819,1.13536,4.23099,0.59226,1.08828,4.19742
0.494116,1.13398,4.22963,0.593991,1.09087,4.198
0.49839,1.13265,4.22829,0.595722,1.09345,4.19857
0.502643,1.13137,4.22697,0.597451,1.09603,4.19915
0.506871,1.13012,4.22567,0.59918,1.0986,4.19973
0.511076,1.12893,4.2244,0.600907,1.10116,4.2003
0.515256,1.12778,4.22314,0.602634,1.10372,4.20088
0.519411,1.12667,4.2219,0.60436,1.10627,4.20145
0.52354,1.12562,4.22069,0.606084,1.10881,4.20203
0.527642,1.12461,4.21949,0.607808,1.11135,4.2026
0.531717,1.12365,4.21832,0.609531,1.11388,4.20318
0.535765,1.12274,4.21717,0.611253,1.1164,4.20375
0.539784,1.12188,4.21604,0.612974,1.11891,4.20432
0.543775,1.12107,4.21494,0.614694,1.12142,4.2049
0.547736,1.12031,4.21385,0.616412,1.12392,4.20547
0.551668,1.1196,4.21279,0.61813,1.12641,4.20604
0.55557,1.11894,4.21175,0.619847,1.1289,4.20662
0.559442,1.11833,4.21074,0.621563,1.13138,4.20719
0.563282,1.11778,4.20975,0.623278,1.13385,4.20776
0.567092,1.11727,4.20878,0.624992,1.13631,4.20833
0.570869,1.11682,4.20784,0.626705,1.13877,4.2089
0.574615,1.11642,4.20691,0.628418,1.14122,4.20947
0.578329,1.11607,4.20602,0.630129,1.14366,4.21004
0.582011,1.11578,4.20514,0.631839,1.1461,4.21061
0.585659,1.11553,4.20429,0.633548,1.14853,4.21118
0.589275,1.11534,4.20347,0.635256,1.15095,4.21175
0.592857,1.1152,4.20267,0.636963,1.15336,4.21232
0.596406,1.11511,4.20189,0.638669,1.15577,4.21289
0.599922,1.11508,4.20114,0.640374,1.15817,4.21346
0.603404,1.1151,4.20041,0.642078,1.16056,4.21403
0.606852,1.11517,4.1997,0.643781,1.16295,4.21459
0.610265,1.11529,4.19902,0.645483,1.16532,4.21516
0.613645,1.11546,4.19836,0.647184,1.16769,4.21573
0.616991,1.11568,4.19773,0.648884,1.17006,4.21629
0.620302,1.11596,4.19712,0.650583,1.17241,4.21686
0.623579,1.11629,4.19654,0.652281,1.17476,4.21743
0.626821,1.11666,4.19598,0.653978,1.1771,4.21799
0.630029,1.11709,4.19544,0.655674,1.17943,4.21856
0.633202,1.11757,4.19493,0.657368,1.18176,4.21912
0.636341,1.1181,4.19445,0.659062,1.18408,4.21969
0.639446,1.11867,4.19399,0.660755,1.18639,4.22025
0.642516,1.1193,4.19355,0.662447,1.18869,4.22082
0.645552,1.11997,4.19313,0.664137,1.19099,4.22138
0.648554,1.1207,4.19274,0.665827,1.19327,4.22194
0.651521,1.12147,4.19238,0.667516,1.19555,4.22251
0.654455,1.12229,4.19204,0.669203,1.19783,4.22307
0.657354,1.12315,4.19172,0.670889,1.20009,4.22363
0.66022,1.12407,4.19143,0.672575,1.20235,4.22419
0.663052,1.12503,4.19116,0.674259,1.2046,4.22475
0.66585,1.12603,4.19091,0.675942,1.20684,4.22531
0.668615,1.12708,4.19069,0.677625,1.20908,4.22587
0.671346,1.12817,4.19049,0.679306,1.21131,4.22644
0.674044,1.12931,4.19032,0.680986,1.21353,4.227
0.67671,1.13049,4.19017,0.682665,1.21574,4.22755
0.679343,1.13172,4.19004,0.684343,1.21794,4.22811
0.681943,1.13299,4.18993,0.686019,1.22014,4.22867
0.684512,1.1343,4.18985,0.687695,1.22233,4.22923
0.687048,1.13565,4.18979,0.68937,1.22451,4.22979
0.689552,1.13704,4.18976,0.691043,1.22668,4.23035
0.692025,1.13847,4.18975,0.692716,1.22885,4.23091
0.694467,1.13995,4.18976,0.694387,1.23101,4.23146
0.696878,1.14146,4.18979,0.696057,1.23316,4.23202
0.699258,1.14301,4.18984,0.697727,1.2353,4.23258
0.701608,1.14459,4.18992,0.699395,1.23743,4.23313
0.703927,1.14622,4.19002,0.701062,1.23956,4.23369
0.706217,1.14788,4.19014,0.702728,1.24168,4.23424
0.708478,1.14958,4.19028,0.704392,1.24379,4.2348
0.710709,1.15131,4.19044,0.706056,1.24589,4.23535
0.712912,1.15307,4.19063,0.707718,1.24799,4.23591
0.715086,1.15487,4.19084,0.70938,1.25008,4.23646
0.717232,1.15671,4.19106,0.71104,1.25216,4.23701
0.71935,1.15857,4.19131,0.712699,1.25423,4.23757
0.721441,1.16047,4.19158,0.714357,1.25629,4.23812
0.723505,1.1624,4.19187,0.716014,1.25835,4.23867
0.725542,1.16436,4.19218,0.71767,1.2604,4.23922
0.727553,1.16635,4.19251,0.719325,1.26244,4.23977
0.729538,1.16837,4.19286,0.720978,1.26447,4.24033
0.731497,1.17041,4.19323,0.722631,1.26649,4.24088
0.733431,1.17249,4.19362,0.724282,1.26851,4.24143
0.73534,1.17459,4.19403,0.725932,1.27052,4.24198
0.737225,1.17672,4.19446,0.727581,1.27252,4.24253
0.739086,1.17887,4.19491,0.729229,1.27451,4.24308
0.740924,1.18105,4.19538,0.730875,1.27649,4.24363
0.742738,1.18325,4.19586,0.732521,1.27847,4.24417
0.744529,1.18547,4.19637,0.734165,1.28044,4.24472
0.746298,1.18772,4.19689,0.735808,1.28239,4.24527
0.748045,1.18999,4.19743,0.73745,1.28435,4.24582
0.74977,1.19228,4.19798,0.739091,1.28629,4.24636
0.751475,1.19459,4.19856,0.740731,1.28823,4.24691
0.753158,1.19692,4.19915,0.742369,1.29015,4.24746
0.754821,1.19927,4.19976,0.744007,1.29207,4.248
0.756464,1.20164,4.20039,0.745643,1.29398,4.24855
0.758088,1.20403,4.20103,0.747278,1.29589,4.24909
0.759692,1.20643,4.20169,0.748911,1.29778,4.24964
0.761278,1.20885,4.20237,0.750544,1.29967,4.25018
0.762845,1.21128,4.20306,0.752176,1.30154,4.25073
0.764394,1.21373,4.20377,0.753806,1.30341,4.25127
0.765926,1.21619,4.20449,0.755435,1.30528,4.25181
0.767441,1.21866,4.20523,0.757063,1.30713,4.25235
0.76894,1.22115,4.20598,0.758689,1.30897,4.2529
